,artist_id,artist_name,artist_picture,date
0,660408,Mochakk,https://geo-media.beatport.com/image_size/590x404/386bde70-2881-41fb-9094-7c261f75ba2c.jpg,2023-11-13
1,322845,CASSIMM,https://geo-media.beatport.com/image_size/590x404/a7cdfb52-8065-412e-8b17-43417a413d6e.jpg,2023-11-13
2,628537,FISHER (OZ),https://geo-media.beatport.com/image_size/590x404/143d36a1-6fd4-43a1-893b-2b29a165d13c.jpg,2023-11-13
3,1085148,Aatig,https://geo-media.beatport.com/image_size/590x404/e03cbd63-59fe-44ea-b7ee-077df567ef50.jpg,2023-11-13
4,528008,Peggy Gou,https://geo-media.beatport.com/image_size/590x404/3d0696b2-6d2a-4407-8e20-95bc4f6f387f.jpg,2023-11-13
5,1938,Mark Knight,https://geo-media.beatport.com/image_size/590x404/d83f8858-beea-46ce-863f-b6593af456d7.jpg,2023-11-13
6,7043,Green Velvet,https://geo-media.beatport.com/image_size/590x404/68882bff-762e-4ed0-81ad-e4ae027a9280.jpg,2023-11-13
7,151058,James Hurr,https://geo-media.beatport.com/image_size/590x404/d3267af5-4c69-4b79-ba73-d9f9779d2024.jpg,2023-11-13
8,1030326,Arielle Free,https://geo-media.beatport.com/image_size/590x404/b90a9015-0d2f-4d23-b08e-a9a01b1f3195.jpg,2023-11-13
9,380949,Life on Planets,https://geo-media.beatport.com/image_size/590x404/61586a81-3f8c-4582-bae0-e8a993eb732a.jpg,2023-11-13
10,803395,Makez,https://geo-media.beatport.com/image_size/590x404/b6a1e3e7-773a-4551-bbbf-00a5d6bc4d11.jpg,2023-11-13
11,9120,Nic Fanciulli,https://geo-media.beatport.com/image_size/590x404/f93f1ee8-2d7a-4aa2-b488-f40b723afa01.jpg,2023-11-13
12,4149,Cajmere,https://geo-media.beatport.com/image_size/590x404/367e30ca-7216-469e-853b-278d81d6be93.jpg,2023-11-13
13,8630,Dajae,https://geo-media.beatport.com/image_size/590x404/8a451ce5-0f20-4c41-a53a-78d21d18c93f.jpg,2023-11-13
14,42095,Prok & Fitch,https://geo-media.beatport.com/image_size/590x404/a24d9829-a8dd-4a86-8f4b-7302cfd06776.jpg,2023-11-13
15,220730,Claptone,https://geo-media.beatport.com/image_size/590x404/6cc8a52e-a0f2-4676-9447-0f30261f8d5f.jpg,2023-11-13
16,10265,MK,https://geo-media.beatport.com/image_size/590x404/05650c54-9e51-4fde-be3a-9d1a5f11bb50.jpg,2023-11-13
17,63969,Sonny Fodera,https://geo-media.beatport.com/image_size/590x404/80b6cba9-3383-4655-8e18-4375510a8c8c.jpg,2023-11-13
18,364169,Clementine Douglas,https://geo-media.beatport.com/image_size/590x404/0dc61986-bccf-49d4-8fad-6b147ea8f327.jpg,2023-11-13
19,31078,Butch,https://geo-media.beatport.com/image_size/590x404/f6c10b97-da10-4354-aca6-d91ee003115f.jpg,2023-11-13
20,498574,ANOTR,https://geo-media.beatport.com/image_size/590x404/fffca72e-3db0-40e1-9a01-73056dab9da8.jpg,2023-11-13
21,1078666,Abel Balder,https://geo-media.beatport.com/image_size/590x404/1c68a715-dd69-4200-b7cf-fb30af925a26.jpg,2023-11-13
22,700541,Nick Morgan,https://geo-media.beatport.com/image_size/590x404/33ce6edc-d2c3-4701-a676-63819652e0ed.jpg,2023-11-13
23,135070,Patrick Prins,https://geo-media.beatport.com/image_size/590x404/62ccd2e8-11b0-4422-9a56-e55be93daa4c.jpg,2023-11-13
24,497288,Solardo,https://geo-media.beatport.com/image_size/590x404/cbe1555c-3bdc-4c38-9cf2-cb0068b7b65f.jpg,2023-11-13
25,9120,Nic Fanciulli,https://geo-media.beatport.com/image_size/590x404/f93f1ee8-2d7a-4aa2-b488-f40b723afa01.jpg,2023-11-13
26,31078,Butch,https://geo-media.beatport.com/image_size/590x404/f6c10b97-da10-4354-aca6-d91ee003115f.jpg,2023-11-13
27,10664,Bob Sinclar,https://geo-media.beatport.com/image_size/590x404/c69fa7c0-be88-41ee-bd8a-09198cf0b9d1.jpg,2023-11-13
28,46389,Daniel Steinberg,https://geo-media.beatport.com/image_size/590x404/d267a6c8-96b2-4ab5-b423-cd988f71cdaf.jpg,2023-11-13
29,188921,MD X-Spress,https://geo-media.beatport.com/image_size/590x404/0dc61986-bccf-49d4-8fad-6b147ea8f327.jpg,2023-11-13
